,UNIQUE-ID,NAME,PRODUCT-NAME,SWISS-PROT-ID,REPLICON,START-BASE,END-BASE,SYNONYMS,SYNONYMS.1,SYNONYMS.2,SYNONYMS.3,GENE-CLASS,GENE-CLASS.1,GENE-CLASS.2,GENE-CLASS.3,ACCESSION-1,TRANSCRIPTION-DIRECTION,locus_tag,name,location,old_locus_tag,product,note,start,end,distance,overlap,ecocyc_gene_len,NCBI_gene_len
3544,GCQD-461,yahE,predicted protein,C6UB05,CHROMOSOME-1,308574,309437,,,,,,,,,ECB_00275,+,ECB_RS01455,,[308573:309437](+),ECB_00275,DUF2877 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,308573,309437,1,863,863,864
3545,GCQD-4543,yjjY,predicted protein,C6UM22,CHROMOSOME-1,4628562,4628702,,,,,,,,,ECB_04278,+,ECB_RS22805,,[4628561:4628702](+),ECB_04278,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4628561,4628702,1,140,140,141
3547,GCQD-3237,yraJ,predicted outer membrane export usher protein,C6UEX6,CHROMOSOME-1,3224048,3226564,,,,,UNCLASSIFIED,,,,ECB_03011,+,ECB_RS15910,,[3224047:3226564](+),ECB_03011,fimbrial biogenesis outer membrane usher protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3224047,3226564,1,2516,2516,2517
3548,GCQD-4538,creA,conserved protein,C6UM18,CHROMOSOME-1,4623681,4624154,yjjD,,,,,,,,ECB_04273,+,ECB_RS22780,creA,[4623680:4624154](+),ECB_04273,protein CreA,Derived by automated computational analysis using gene prediction method: Protein Homology.,4623680,4624154,1,473,473,474
3549,GCQD-4528,ytjB,membrane protein,,CHROMOSOME-1,4613003,4612359,smp,,,,,,,,ECB_04263,-,ECB_RS25690,,[4612358:4613003](-),ECB_04263,YtjB family periplasmic protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4613003,4612358,1,644,644,645
3550,GCQD-1719,essQ,Qin prophage; predicted S lysis protein,C6UHW6,CHROMOSOME-1,1613344,1613129,ydfS,,,,UNCLASSIFIED,,,,ECB_01521,-,ECB_RS08045,essD,[1613128:1613344](-),ECB_01521,phage lysis protein EssD,Derived by automated computational analysis using gene prediction method: Protein Homology.,1613344,1613128,1,215,215,216
3551,GCQD-3638,ghrB,GhrB,C6UGT0,CHROMOSOME-1,3647768,3648742,tkrA,yiaE,,,UNCLASSIFIED,,,,ECB_03403,+,ECB_RS18025,ghrB,[3647767:3648742](+),ECB_03403,glyoxylate/hydroxypyruvate reductase GhrB,Derived by automated computational analysis using gene prediction method: Protein Homology.,3647767,3648742,1,974,974,975
3552,GCQD-4526,ECB_04261,orf,C6UM06,CHROMOSOME-1,4611283,4611020,,,,,,,,,ECB_04261,-,ECB_RS22715,,[4611019:4611283](-),ECB_04261,helix-turn-helix transcriptional regulator,Derived by automated computational analysis using gene prediction method: Protein Homology.,4611283,4611019,1,263,263,264
3553,GCQD-4521,yjjI,"conserved protein, may be involved in nitrogen metabolism",C6UM01,CHROMOSOME-1,4606299,4604749,yjjH,,,,,,,,ECB_04256,-,ECB_RS22685,,[4604748:4606299](-),ECB_04256,YjjI family glycine radical enzyme,Derived by automated computational analysis using gene prediction method: Protein Homology.,4606299,4604748,1,1550,1550,1551
3554,GCQD-4307,hflC,regulator of FtsH protease,C6UKG7,CHROMOSOME-1,4381455,4382459,hflA,,,,UNCLASSIFIED,,,,ECB_04042,+,ECB_RS21520,hflC,[4381454:4382459](+),ECB_04042,protease modulator HflC,Derived by automated computational analysis using gene prediction method: Protein Homology.,4381454,4382459,1,1004,1004,1005
3555,GCQD-1439,trpE,anthranilate synthase component I,C6UGC7,CHROMOSOME-1,1320540,1318978,anth,tryD,tryp-4,,UNCLASSIFIED,,,,ECB_01238,-,ECB_RS06570,trpE,[1318977:1320540](-),ECB_01238,anthranilate synthase component I,Derived by automated computational analysis using gene prediction method: Protein Homology.,1320540,1318977,1,1562,1562,1563
3558,GCQD-645,glxR,tartronate semialdehyde reductase 2,C6UBX3,CHROMOSOME-1,508752,509630,glxB1,ybbQ,,,UNCLASSIFIED,,,,ECB_00459,+,ECB_RS02395,glxR,[508751:509630](+),ECB_00459,2-hydroxy-3-oxopropionate reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,508751,509630,1,878,878,879
3560,GCQD-4507,yjjZ,predicted protein,C6ULZ0,CHROMOSOME-1,4595038,4595274,,,,,,,,,ECB_04245,+,ECB_RS22615,,[4595037:4595274](+),ECB_04245,DUF1435 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4595037,4595274,1,236,236,237
3561,GCQD-4499,yjjA,conserved protein,C6ULY2,CHROMOSOME-1,4589423,4588929,,,,,,,,,ECB_04237,-,ECB_RS22575,,[4588928:4589423](-),ECB_04237,DUF2501 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4589423,4588928,1,494,494,495
3562,GCQD-2182,alkA,"3-methyl-adenine DNA glycosylase II, inducible",C6UKM1,CHROMOSOME-1,2080726,2079878,aidA,,,,UNCLASSIFIED,,,,ECB_01974,-,ECB_RS10455,alkA,[2079877:2080726](-),ECB_01974,DNA-3-methyladenine glycosylase 2,Derived by automated computational analysis using gene prediction method: Protein Homology.,2080726,2079877,1,848,848,849
3563,GCQD-449,ykgF,predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,C6UAZ3,CHROMOSOME-1,294987,296414,,,,,UNCLASSIFIED,,,,ECB_00263,+,ECB_RS01390,,[294986:296414](+),ECB_00263,iron-sulfur cluster-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,294986,296414,1,1427,1427,1428
3564,GCQD-4481,yjiX,conserved protein,C6ULW5,CHROMOSOME-1,4567054,4566851,,,,,,,,,ECB_04219,-,ECB_RS22480,,[4566850:4567054](-),ECB_04219,YbdD/YjiX family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4567054,4566850,1,203,203,204
3566,GCQD-2618,bamB,Outer Membrane Protein Assembly Complex - BamB subunit,C6UBB9,CHROMOSOME-1,2559471,2558293,yfgL,,,,UNCLASSIFIED,,,,ECB_02404,-,ECB_RS12670,bamB,[2558292:2559471](-),ECB_02404,outer membrane protein assembly factor BamB,Derived by automated computational analysis using gene prediction method: Protein Homology.,2559471,2558292,1,1178,1178,1179
3568,GCQD-4460,yjiG,conserved inner membrane protein,C6ULU5,CHROMOSOME-1,4540914,4540453,,,,,,,,,ECB_04198,-,ECB_RS22375,,[4540452:4540914](-),ECB_04198,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4540914,4540452,1,461,461,462
3569,GCQD-4456,yjiC,predicted protein,C6UL96,CHROMOSOME-1,4537234,4536404,,,,,,,,,ECB_04194,-,ECB_RS22345,,[4536403:4537234](-),ECB_04194,YjfZ/YjiC family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4537234,4536403,1,830,830,831
3570,GCQD-3033,cbtA,CP4-44 prophage; toxin of the CbtA-CbeA toxin-antitoxin system,,CHROMOSOME-1,3009295,3009669,yeeV,,,,UNCLASSIFIED,,,,ECB_02808,+,ECB_RS14850,,[3009294:3009669](+),ECB_02808,toxin,Derived by automated computational analysis using gene prediction method: Protein Homology.,3009294,3009669,1,374,374,375
3308,GCQD-821,tRNA-Met,tRNA-Met,,CHROMOSOME-1,679227,679151,,,,,tRNA,,,,ECB_t00014,-,ECB_RS03315,,[679150:679227](-),ECB_t00014,,,679227,679150,1,76,76,77
2155,GCQD-4237,phnD,phosphonate ABC transporter - periplasmic binding protein,C6UKA2,CHROMOSOME-1,4303166,4302150,phn,psiD,,,transport,UNCLASSIFIED,,,ECB_03976,-,ECB_RS21150,phnD,[4302149:4303166](-),ECB_03976,phosphonate ABC transporter substrate-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4303166,4302149,1,1016,1016,1017
2276,GCQD-3404,rplW,50S ribosomal protein L23,C6UFR8,CHROMOSOME-1,3379589,3379287,,,,,UNCLASSIFIED,,,,ECB_03169,-,ECB_RS16775,rplW,[3379286:3379589](-),ECB_03169,50S ribosomal protein L23,Derived by automated computational analysis using gene prediction method: Protein Homology.,3379589,3379286,1,302,302,303
795,GCQD-3645,glyS,"glycyl-tRNA synthetase, &beta; subunit",C6UH71,CHROMOSOME-1,3654855,3652786,glyS(B),gly,gly-act,,UNCLASSIFIED,,,,ECB_03410,-,ECB_RS18060,glyS,[3652785:3654855](-),ECB_03410,glycine--tRNA ligase subunit beta,Derived by automated computational analysis using gene prediction method: Protein Homology.,3654855,3652785,1,2069,2069,2070
782,GCQD-4118,rplJ,50S ribosomal protein L10,C6UJL4,CHROMOSOME-1,4159607,4160104,,,,,UNCLASSIFIED,,,,ECB_03861,+,ECB_RS20515,rplJ,[4159606:4160104](+),ECB_03861,50S ribosomal protein L10,Derived by automated computational analysis using gene prediction method: Protein Homology.,4159606,4160104,1,497,497,498
783,GCQD-4535,yjjX,ITPase/XTPase,C6UM15,CHROMOSOME-1,4621905,4621384,,,,,UNCLASSIFIED,,,,ECB_04270,-,ECB_RS22765,yjjX,[4621383:4621905](-),ECB_04270,non-canonical purine NTP phosphatase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4621905,4621383,1,521,521,522
784,GCQD-2426,yfbT,sugar phosphatase,C6UMG8,CHROMOSOME-1,2355680,2355030,,,,,UNCLASSIFIED,,,,ECB_02218,-,ECB_RS11675,hxpA,[2355029:2355680](-),ECB_02218,hexitol phosphatase HpxA,Derived by automated computational analysis using gene prediction method: Protein Homology.,2355680,2355029,1,650,650,651
785,GCQD-918,pgl,6-phosphogluconolactonase,C6UDR6,CHROMOSOME-1,779215,780210,ybhE,,,,UNCLASSIFIED,,,,ECB_00720,+,ECB_RS03835,,[779214:780210](+),ECB_00720,6-phosphogluconolactonase,Derived by automated computational analysis using gene prediction method: Protein Homology.,779214,780210,1,995,995,996
786,GCQD-2832,queD,"6-carboxy-5,6,7,8-tetrahydropterin synthase",,CHROMOSOME-1,2780714,2781079,ygcM,sscR,,,UNCLASSIFIED,,,,ECB_02610,+,ECB_RS13795,queD,[2780713:2781079](+),ECB_02610,6-carboxytetrahydropterin synthase QueD,Derived by automated computational analysis using gene prediction method: Protein Homology.,2780713,2781079,1,365,365,366
787,GCQD-3262,nusA,transcription termination/antitermination L factor,C6UF01,CHROMOSOME-1,3252760,3251273,,,,,UNCLASSIFIED,,,,ECB_03036,-,ECB_RS16040,nusA,[3251272:3252760](-),ECB_03036,transcription termination/antitermination protein NusA,Derived by automated computational analysis using gene prediction method: Protein Homology.,3252760,3251272,1,1487,1487,1488
788,GCQD-4094,argH,argininosuccinate lyase,C6UJJ8,CHROMOSOME-1,4136711,4138084,,,,,UNCLASSIFIED,,,,ECB_03845,+,ECB_RS20390,argH,[4136710:4138084](+),ECB_03845,argininosuccinate lyase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4136710,4138084,1,1373,1373,1374
789,GCQD-195,mokC,regulatory peptide whose translation enables hokC (gef) expression,C6ULB5,CHROMOSOME-1,16958,16749,gefL,,,,UNCLASSIFIED,,,,ECB_00017,-,ECB_RS00085,mokC,[16748:16958](-),ECB_04280,type I toxin-antitoxin system toxin MokC,Derived by automated computational analysis using gene prediction method: Protein Homology.,16958,16748,1,209,209,210
790,GCQD-4518,yjjU,predicted esterase,C6ULZ8,CHROMOSOME-1,4601645,4602718,,,,,UNCLASSIFIED,,,,ECB_04253,+,ECB_RS22670,,[4601644:4602718](+),ECB_04253,patatin family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4601644,4602718,1,1073,1073,1074
791,GCQD-2410,nuoM,"NADH:ubiquinone oxidoreductase, membrane subunit M",C6ULT6,CHROMOSOME-1,2336565,2335036,nuoA,,,,UNCLASSIFIED,,,,ECB_02202,-,ECB_RS11595,nuoM,[2335035:2336565](-),ECB_02202,NADH-quinone oxidoreductase subunit M,Derived by automated computational analysis using gene prediction method: Protein Homology.,2336565,2335035,1,1529,1529,1530
792,GCQD-893,ybgF,predicted periplasmic protein,C6UDB4,CHROMOSOME-1,760480,761271,,,,,UNCLASSIFIED,,,,ECB_00702,+,ECB_RS03705,cpoB,[760479:761271](+),ECB_00702,cell division protein CpoB,Derived by automated computational analysis using gene prediction method: Protein Homology.,760479,761271,1,791,791,792
793,GCQD-2817,truD,tRNA pseudouridine 13 synthase,C6UC94,CHROMOSOME-1,2766165,2765116,ygbO,,,,UNCLASSIFIED,,,,ECB_02595,-,ECB_RS13715,truD,[2765115:2766165](-),ECB_02595,tRNA pseudouridine(13) synthase TruD,Derived by automated computational analysis using gene prediction method: Protein Homology.,2766165,2765115,1,1049,1049,1050
794,GCQD-3246,yhbO,protein involved in stress response,C6UEY5,CHROMOSOME-1,3234208,3234726,,,,,UNCLASSIFIED,,,,ECB_03020,+,ECB_RS15955,yhbO,[3234207:3234726](+),ECB_03020,protein/nucleic acid deglycase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3234207,3234726,1,518,518,519
796,GCQD-1448,sohB,predicted inner membrane peptidase,C6UGD6,CHROMOSOME-1,1327704,1328753,,,,,UNCLASSIFIED,,,,ECB_01248,+,ECB_RS06620,sohB,[1327703:1328753](+),ECB_01248,protease SohB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1327703,1328753,1,1049,1049,1050
780,GCQD-3683,rhsA,RhsA protein in rhs element,C6UHA8,CHROMOSOME-1,3696877,3701010,,,,,UNCLASSIFIED,,,,ECB_03448,+,ECB_RS18260,,[3696876:3701010](+),ECB_03448,RHS element protein RhsA,Derived by automated computational analysis using gene prediction method: Protein Homology.,3696876,3701010,1,4133,4133,4134
797,GCQD-4076,metF,"5,10-methylenetetrahydrofolate reductase",C6UJI0,CHROMOSOME-1,4112723,4113613,,,,,UNCLASSIFIED,,,,ECB_03827,+,ECB_RS20295,metF,[4112722:4113613](+),ECB_03827,methylenetetrahydrofolate reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4112722,4113613,1,890,890,891
798,GCQD-1932,topB,DNA topoisomerase III,C6UJ77,CHROMOSOME-1,1824188,1822227,mutR,,,,UNCLASSIFIED,,,,ECB_01732,-,ECB_RS09135,,[1822226:1824188](-),ECB_01732,DNA topoisomerase III,Derived by automated computational analysis using gene prediction method: Protein Homology.,1824188,1822226,1,1961,1961,1962
799,GCQD-4497,yjjN,predicted L-galactonate oxidoreductase,C6ULY0,CHROMOSOME-1,4585224,4586246,,,,,UNCLASSIFIED,,,,ECB_04235,+,ECB_RS22565,,[4585223:4586246](+),ECB_04235,L-galactonate-5-dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4585223,4586246,1,1022,1022,1023
800,GCQD-2389,arnA,fused UDP-L-Ara4N formyltransferase and UDP-GlcA C-4''-decarboxylase,C6ULR6,CHROMOSOME-1,2314552,2316534,SAF,yfbG,pmrI,,UNCLASSIFIED,,,,ECB_02181,+,ECB_RS11490,arnA,[2314551:2316534](+),ECB_02181,bifunctional UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronic acid oxidase ArnA,Derived by automated computational analysis using gene prediction method: Protein Homology.,2314551,2316534,1,1982,1982,1983
801,GCQD-875,sdhB,succinate dehydrogenase iron-sulfur protein,C6UD96,CHROMOSOME-1,738480,739196,dhsB,,,,UNCLASSIFIED,,,,ECB_00684,+,ECB_RS03605,,[738479:739196](+),ECB_00684,succinate dehydrogenase iron-sulfur subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,738479,739196,1,716,716,717
802,GCQD-2799,hypB,accessory protein for nickel incorporation into hydrogenase isoenzymes,C6UC76,CHROMOSOME-1,2745861,2746733,hydB,,,,UNCLASSIFIED,,,,ECB_02577,+,ECB_RS13625,hypB,[2745860:2746733](+),ECB_02577,hydrogenase nickel incorporation protein HypB,Derived by automated computational analysis using gene prediction method: Protein Homology.,2745860,2746733,1,872,872,873
803,GCQD-3229,agaS,putative tagatose-6-phosphate aldose/ketose isomerase,C6UEI4,CHROMOSOME-1,3217209,3218363,yraB,,,,UNCLASSIFIED,,,,ECB_03003,+,ECB_RS15870,,[3217208:3218363](+),ECB_03003,AgaS family sugar isomerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3217208,3218363,1,1154,1154,1155
804,GCQD-1426,yciI,predicted enzyme,C6UGB4,CHROMOSOME-1,1308459,1308163,,,,,UNCLASSIFIED,,,,ECB_01225,-,ECB_RS06505,,[1308162:1308459](-),ECB_01225,YciI family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1308459,1308162,1,296,296,297
805,GCQD-4060,glpK,GlpK,C6UJG4,CHROMOSOME-1,4096704,4095196,,,,,UNCLASSIFIED,,,,ECB_03811,-,ECB_RS20210,glpK,[4095195:4096704](-),ECB_03811,glycerol kinase GlpK,Derived by automated computational analysis using gene prediction method: Protein Homology.,4096704,4095195,1,1508,1508,1509
806,GCQD-1914,astB,succinylarginine dihydrolase,C6UJ60,CHROMOSOME-1,1805524,1804181,ydjT,,,,UNCLASSIFIED,,,,ECB_01714,-,ECB_RS09045,astB,[1804180:1805524](-),ECB_01714,N-succinylarginine dihydrolase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1805524,1804180,1,1343,1343,1344
807,GCQD-4480,yjiA,P-loop guanosine triphosphatase,C6ULW4,CHROMOSOME-1,4566840,4565884,,,,,UNCLASSIFIED,,,,ECB_04218,-,ECB_RS22475,,[4565883:4566840](-),ECB_04218,GTPase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4566840,4565883,1,956,956,957
808,GCQD-2370,yfaE,2Fe-2S cluster-containing protein involved in diferric-tyrosyl radical cofactor maintenance,C6ULP7,CHROMOSOME-1,2295222,2295476,,,,,UNCLASSIFIED,,,,ECB_02162,+,ECB_RS11395,yfaE,[2295221:2295476](+),ECB_02162,ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE,Derived by automated computational analysis using gene prediction method: Protein Homology.,2295221,2295476,1,254,254,255
810,GCQD-2784,hypF,"hydrogenase maturation protein, carbamoyltransferase",C6UC61,CHROMOSOME-1,2732285,2730033,hydA,,,,UNCLASSIFIED,,,,ECB_02562,-,ECB_RS13545,hypF,[2730032:2732285](-),ECB_02562,carbamoyltransferase HypF,Derived by automated computational analysis using gene prediction method: Protein Homology.,2732285,2730032,1,2252,2252,2253
781,GCQD-1484,pspD,peripheral inner membrane phage-shock protein,C6UGV5,CHROMOSOME-1,1367761,1367982,,,,,UNCLASSIFIED,,,,ECB_01284,+,ECB_RS06830,pspD,[1367760:1367982](+),ECB_01284,phage shock protein PspD,Derived by automated computational analysis using gene prediction method: Protein Homology.,1367760,1367982,1,221,221,222
779,GCQD-1005,deoR,DeoR DNA-binding transcriptional repressor,C6UE03,CHROMOSOME-1,875286,874528,nucR,,,,UNCLASSIFIED,,,,ECB_00807,-,ECB_RS04300,deoR,[874527:875286](-),ECB_00807,DNA-binding transcriptional repressor DeoR,Derived by automated computational analysis using gene prediction method: Protein Homology.,875286,874527,1,758,758,759
812,GCQD-3608,kdgK,2-keto-3-deoxygluconokinase,C6UGQ2,CHROMOSOME-1,3608911,3609840,yhjI,,,,UNCLASSIFIED,,,,ECB_03374,+,ECB_RS17860,,[3608910:3609840](+),ECB_03374,sugar kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3608910,3609840,1,929,929,930
761,GCQD-3720,waaO,"UDP-glucose:(Glucosyl) LPS alpha1,3-glucosyltransferase WaaO",C6UHE5,CHROMOSOME-1,3743497,3742481,,,,,UNCLASSIFIED,,,,ECB_03486,-,ECB_RS18455,waaO,[3742480:3743497](-),ECB_03486,lipopolysaccharide 3-alpha-galactosyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3743497,3742480,1,1016,1016,1017
745,GCQD-1095,rarA,recombination factor,,CHROMOSOME-1,955087,956430,ycaJ,mgsA,,,UNCLASSIFIED,,,,ECB_00896,+,ECB_RS04740,,[955086:956430](+),ECB_00896,replication-associated recombination protein A,Derived by automated computational analysis using gene prediction method: Protein Homology.,955086,956430,1,1343,1343,1344
747,GCQD-1571,gapC,glyceraldehyde-3-phosphate dehydrogenase,C6UH41,CHROMOSOME-1,1460045,1459044,,,,,UNCLASSIFIED,,,,ECB_01371,-,ECB_RS07280,gap,[1459043:1460045](-),ECB_01371,type I glyceraldehyde-3-phosphate dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1460045,1459043,1,1001,1001,1002
748,GCQD-4192,ssb,ssDNA-binding protein,C6UK58,CHROMOSOME-1,4253058,4253594,exrB,lexC,,,UNCLASSIFIED,,,,ECB_03931,+,ECB_RS20915,,[4253057:4253594](+),ECB_03931,single-stranded DNA-binding protein SSB1,Derived by automated computational analysis using gene prediction method: Protein Homology.,4253057,4253594,1,536,536,537
749,GCQD-2060,motB,flagellar motor protein MotB,C6UJX9,CHROMOSOME-1,1955025,1954099,,,,,UNCLASSIFIED,,,,ECB_01860,-,ECB_RS09830,,[1954098:1955025](-),ECB_01860,motility protein MotB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1955025,1954098,1,926,926,927
751,GCQD-2500,ypdC,predicted ARAC-type regulatory protein,C6UMP1,CHROMOSOME-1,2435355,2436212,,,,,UNCLASSIFIED,,,,ECB_02292,+,ECB_RS12060,,[2435354:2436212](+),ECB_02292,AraC family transcriptional regulator,Derived by automated computational analysis using gene prediction method: Protein Homology.,2435354,2436212,1,857,857,858
752,GCQD-3332,tldD,protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD,C6UF69,CHROMOSOME-1,3319919,3318474,yhdO,,,,UNCLASSIFIED,,,,ECB_03104,-,ECB_RS16390,tldD,[3318473:3319919](-),ECB_03104,metalloprotease TldD,Derived by automated computational analysis using gene prediction method: Protein Homology.,3319919,3318473,1,1445,1445,1446
753,GCQD-1076,hcp,hybrid-cluster protein,C6UEK9,CHROMOSOME-1,930521,928869,priS,ybjW,,,UNCLASSIFIED,,,,ECB_00878,-,ECB_RS04640,hcp,[928868:930521](-),ECB_00878,hydroxylamine reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,930521,928868,1,1652,1652,1653
755,GCQD-1551,hslJ,heat shock protein HslJ,C6UH21,CHROMOSOME-1,1433349,1432927,ydbI,,,,UNCLASSIFIED,,,,ECB_01351,-,ECB_RS07180,hslJ,[1432926:1433349](-),ECB_01351,heat shock protein HslJ,Derived by automated computational analysis using gene prediction method: Protein Homology.,1433349,1432926,1,422,422,423
756,GCQD-4174,plsB,glycerol-3-phosphate acyltransferase,C6UJR5,CHROMOSOME-1,4235398,4232975,,,,,UNCLASSIFIED,,,,ECB_03913,-,ECB_RS20820,plsB,[4232974:4235398](-),ECB_03913,glycerol-3-phosphate 1-O-acyltransferase PlsB,Derived by automated computational analysis using gene prediction method: Protein Homology.,4235398,4232974,1,2423,2423,2424
757,GCQD-2042,cmoB,tRNA U34 carboxymethyltransferase,C6UJW1,CHROMOSOME-1,1932212,1933183,yecP,,,,UNCLASSIFIED,,,,ECB_01842,+,ECB_RS09740,cmoB,[1932211:1933183](+),ECB_01842,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1932211,1933183,1,971,971,972
758,GCQD-2484,dsdA,D-serine ammonia-lyase,C6UMM5,CHROMOSOME-1,2413429,2414757,,,,,UNCLASSIFIED,,,,ECB_02276,+,ECB_RS11975,dsdA,[2413428:2414757](+),ECB_02276,D-serine ammonia-lyase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2413428,2414757,1,1328,1328,1329
759,GCQD-988,ybiW,predicted pyruvate formate lyase,C6UDY6,CHROMOSOME-1,855158,852726,pflF,,,,UNCLASSIFIED,,,,ECB_00790,-,ECB_RS04210,,[852725:855158](-),ECB_00790,glycyl radical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,855158,852725,1,2432,2432,2433
760,GCQD-2884,mltA,membrane-bound lytic murein transglycosylase A,C6UCU2,CHROMOSOME-1,2841797,2840700,ygdM,mlt,,,UNCLASSIFIED,,,,ECB_02664,-,ECB_RS14070,mltA,[2840699:2841797](-),ECB_02664,murein transglycosylase A,Derived by automated computational analysis using gene prediction method: Protein Homology.,2841797,2840699,1,1097,1097,1098
762,GCQD-1521,ttcA,predicted C32 tRNA thiolase,C6UGZ1,CHROMOSOME-1,1409118,1408183,ydaO,,,,UNCLASSIFIED,,,,ECB_01321,-,ECB_RS07035,ttcA,[1408182:1409118](-),ECB_01321,tRNA 2-thiocytidine(32) synthetase TtcA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1409118,1408182,1,935,935,936
778,GCQD-285,ppdD,prepilin peptidase dependent protein,C6UM69,CHROMOSOME-1,120353,119913,,,,,UNCLASSIFIED,,,,ECB_00107,-,ECB_RS00560,ppdD,[119912:120353](-),ECB_00107,prepilin peptidase-dependent pilin,Derived by automated computational analysis using gene prediction method: Protein Homology.,120353,119912,1,440,440,441
763,GCQD-4157,lysC,LysC,C6UJP8,CHROMOSOME-1,4212164,4210815,apk,,,,UNCLASSIFIED,,,,ECB_03896,-,ECB_RS20715,lysC,[4210814:4212164](-),ECB_03896,lysine-sensitive aspartokinase 3,Derived by automated computational analysis using gene prediction method: Protein Homology.,4212164,4210814,1,1349,1349,1350
764,GCQD-2021,eda,Eda,C6UJU0,CHROMOSOME-1,1911332,1910691,hga,kdgA,kga,,UNCLASSIFIED,,,,ECB_01821,-,ECB_RS09630,,[1910690:1911332](-),ECB_01821,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1911332,1910690,1,641,641,642
765,GCQD-484,lacZ,&beta;-galactosidase monomer,C6UB28,CHROMOSOME-1,338861,335787,,,,,UNCLASSIFIED,,,,ECB_00298,-,ECB_RS01575,,[335786:338861](-),ECB_00298,beta-galactosidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,338861,335786,1,3074,3074,3075
766,GCQD-2468,yfcR,predicted fimbrial-like adhesin protein,C6UML0,CHROMOSOME-1,2395231,2394725,,,,,UNCLASSIFIED,,,,ECB_02260,-,ECB_RS11890,,[2394724:2395231](-),ECB_02260,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,2395231,2394724,1,506,506,507
767,GCQD-964,dinG,ATP-dependent helicase,C6UDW2,CHROMOSOME-1,825695,827845,rarB,,,,UNCLASSIFIED,,,,ECB_00766,+,ECB_RS04085,dinG,[825694:827845](+),ECB_00766,ATP-dependent DNA helicase DinG,Derived by automated computational analysis using gene prediction method: Protein Homology.,825694,827845,1,2150,2150,2151
769,GCQD-3296,hpf,hibernation promoting factor,C6UF33,CHROMOSOME-1,3281408,3281695,yhbH,,,,UNCLASSIFIED,,,,ECB_03068,+,ECB_RS16210,,[3281407:3281695](+),ECB_03068,ribosome hibernation promoting factor,Derived by automated computational analysis using gene prediction method: Protein Homology.,3281407,3281695,1,287,287,288
770,GCQD-1036,ECB_00838,putative phage tail protein,C6UE34,CHROMOSOME-1,896305,896736,,,,,UNCLASSIFIED,,,,ECB_00838,+,ECB_RS04435,,[896304:896736](+),ECB_00838,phage tail protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,896304,896736,1,431,431,432
771,GCQD-3704,yibN,predicted rhodanese-related sulfurtransferase,C6UHC9,CHROMOSOME-1,3725781,3725350,,,,,UNCLASSIFIED,,,,ECB_03469,-,ECB_RS18370,,[3725349:3725781](-),ECB_03469,rhodanese-like domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3725781,3725349,1,431,431,432
